timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
24.25,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,13.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
24.5,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,12.6667,13.0,5,0,0.1,2,0.0,0,14.7364,31,6,8,0,0,0,1.0
24.75,10,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,13.1667,0.0,0,0,0.0,0,0.0,0,0.0,0,9,8,0,0,0,0.0
25.0,10,1010123456002,74,1,2,8,1,0,18.0,13,0,0.02576,5,0,13.5,0.0,4,0,0.1,2,0.0,0,0.0,31,21,20,0,0,0,0.0
25.25,10,1010123456002,74,1,2,8,1,0,18.0,8,158,0.015456,3,0,11.25,0.0,0,0,0.0,0,0.0,0,0.0,0,8,12,0,0,0,0.0
25.5,10,1010123456002,74,1,2,8,1,0,15.3125,16,0,0.02096,6,0,13.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,24,22,0,0,0,0.0
25.75,10,1010123456002,74,1,2,8,1,0,18.0,12,0,0.015456,3,0,9.5,0.0,0,0,0.0,0,0.0,0,0.0,0,18,16,0,0,0,0.0
26.0,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.015456,3,0,13.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,12,8,0,0,0,0.0
26.25,10,1010123456002,74,1,2,8,1,0,6.29412,17,0,0.011264,7,0,8.25,8.4,35,0,0.1,13,30.7692,0,8.0301,31,6,40,0,0,0,4.14286
26.5,10,1010123456002,74,1,2,8,1,0,16.7333,15,0,0.020384,5,0,13.4,0.0,0,0,0.0,0,0.0,0,0.0,0,55,16,0,0,0,0.0
